month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,remaining_lease_years,price_per_sqft,storey_mid
2024-10,BUKIT MERAH,4 ROOM,40,TELOK BLANGAH RISE,04 TO 06,82.0,Improved,1976,50 years 07 months,485000.0,50.583333333333336,549.4880244466656,5.0
2024-10,BUKIT MERAH,4 ROOM,26D,JLN MEMBINA,25 TO 27,90.0,Model A,2009,83 years 04 months,980000.0,83.33333333333333,1011.6118589813068,26.0
2024-10,QUEENSTOWN,4 ROOM,17,DOVER CRES,04 TO 06,92.0,Model A,2003,78 years,782000.0,,789.6766042047957,5.0
2024-10,BUKIT MERAH,4 ROOM,69,REDHILL CL,28 TO 30,100.0,Model A,2001,75 years 05 months,918000.0,75.41666666666667,852.8507325411795,29.0
2024-10,BUKIT MERAH,4 ROOM,9B,BOON TIONG RD,37 TO 39,92.0,Model A,2016,90 years 05 months,1320000.0,90.41666666666669,1332.9579508316244,38.0
2024-10,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,34 TO 36,93.0,Type S1,2011,85 years 04 months,1350000.0,85.33333333333333,1348.5938212226113,35.0
2024-10,CENTRAL AREA,4 ROOM,1G,CANTONMENT RD,34 TO 36,93.0,Type S1,2011,85 years 04 months,1388888.0,85.33333333333333,1387.441314940911,35.0
2024-10,QUEENSTOWN,4 ROOM,130,CLARENCE LANE,13 TO 15,104.0,Model A,1996,70 years 11 months,988000.0,70.91666666666667,882.5797341112421,14.0
2024-11,BUKIT MERAH,4 ROOM,93A,TELOK BLANGAH ST 31,25 TO 27,93.0,Model A,2018,93 years 02 months,1038000.0,93.16666666666669,1036.9188047622745,26.0
2024-11,QUEENSTOWN,4 ROOM,56,STRATHMORE AVE,07 TO 09,85.0,Model A,2002,76 years 07 months,860000.0,76.58333333333333,939.9610790534592,8.0
2024-11,QUEENSTOWN,4 ROOM,27,GHIM MOH LINK,19 TO 21,92.0,Model A,2013,87 years 06 months,958000.0,87.5,967.4043309823456,20.0
2024-11,QUEENSTOWN,4 ROOM,21,QUEEN'S CL,16 TO 18,107.0,Model A,1996,71 years 01 month,838000.0,71.08333333333333,727.5964753420767,17.0
2024-11,BUKIT MERAH,4 ROOM,13,JLN BT MERAH,10 TO 12,106.0,Model A,1996,71 years 01 month,830000.0,71.08333333333333,727.4490360599117,11.0
2024-11,QUEENSTOWN,4 ROOM,17,DOVER CRES,13 TO 15,92.0,Model A,2003,77 years 11 months,795000.0,77.91666666666667,802.8042203872284,14.0
2024-11,QUEENSTOWN,4 ROOM,89,DAWSON RD,37 TO 39,83.0,Premium Apartment,2016,90 years 06 months,1000000.0,90.5,1119.3148181499585,38.0
2024-11,TAMPINES,4 ROOM,458,TAMPINES ST 42,07 TO 09,84.0,Simplified,1988,62 years 03 months,555000.0,62.25,613.8242511675933,8.0
2024-11,CENTRAL AREA,4 ROOM,642,ROWELL RD,10 TO 12,109.0,Model A,1984,58 years 03 months,820000.0,58.25,698.9042800301485,11.0
2024-11,BUKIT MERAH,4 ROOM,96A,HENDERSON RD,04 TO 06,93.0,Model A,2019,93 years 07 months,1060000.0,93.58333333333331,1058.8958892562723,5.0
2024-11,QUEENSTOWN,4 ROOM,18A,HOLLAND DR,01 TO 03,92.0,Model A,2012,87 years,938000.0,,947.2079983939876,2.0
2024-12,BUKIT MERAH,4 ROOM,9A,BOON TIONG RD,13 TO 15,92.0,Model A,2016,90 years 02 months,1300000.0,90.16666666666669,1312.7616182432666,14.0
2024-12,BEDOK,3 ROOM,50,CHAI CHEE ST,10 TO 12,68.0,New Generation,1981,55 years 09 months,410000.0,55.75,560.1512244359277,11.0
2024-12,CENTRAL AREA,4 ROOM,1G,CANTONMENT RD,28 TO 30,94.0,Type S1,2011,85 years 02 months,1340000.0,85.16666666666667,1324.363766751472,29.0
2024-12,CENTRAL AREA,4 ROOM,1A,CANTONMENT RD,19 TO 21,96.0,Type S1,2011,85 years 02 months,1300000.0,85.16666666666667,1258.0632174831303,20.0
2024-12,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,25 TO 27,94.0,Type S1,2011,85 years 02 months,1320000.0,85.16666666666667,1304.5971433671218,26.0
2024-12,QUEENSTOWN,4 ROOM,18B,HOLLAND DR,28 TO 30,87.0,Model A,2012,86 years 11 months,1200000.0,86.91666666666667,1281.4224814682282,29.0
2024-12,CENTRAL AREA,4 ROOM,1B,CANTONMENT RD,49 TO 51,94.0,Type S1,2011,85 years 02 months,1430000.0,85.16666666666667,1413.3135719810489,50.0
2024-12,CENTRAL AREA,4 ROOM,1E,CANTONMENT RD,22 TO 24,93.0,Type S1,2011,85 years 02 months,1345000.0,85.16666666666667,1343.5990292921572,23.0
2024-12,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,16 TO 18,95.0,Type S1,2011,85 years 03 months,1303888.0,85.25,1275.1081710258609,17.0
2024-12,QUEENSTOWN,4 ROOM,30,GHIM MOH LINK,25 TO 27,93.0,Model A,2018,92 years 08 months,1000000.0,92.66666666666669,998.9583860908232,26.0
2024-12,BUKIT MERAH,4 ROOM,88,TELOK BLANGAH HTS,10 TO 12,85.0,Model A,2003,77 years 04 months,728000.0,77.33333333333333,795.6879831987422,11.0
2024-12,TAMPINES,4 ROOM,910,TAMPINES ST 91,07 TO 09,104.0,Model A,1984,59 years,658000.0,,587.7909565234792,8.0
2024-12,BUKIT MERAH,4 ROOM,80A,TELOK BLANGAH ST 31,13 TO 15,95.0,Premium Apartment,2013,87 years 09 months,995000.0,87.75,973.0380448096244,14.0
2024-12,BUKIT MERAH,4 ROOM,115,BT PURMEI RD,10 TO 12,103.0,Model A,1985,59 years 05 months,680000.0,59.416666666666664,613.3410518095501,11.0
2024-12,CENTRAL AREA,4 ROOM,1A,CANTONMENT RD,40 TO 42,93.0,Type S1,2011,85 years 03 months,1380000.0,85.25,1378.562572805336,41.0
2024-12,BUKIT MERAH,4 ROOM,3,DELTA AVE,01 TO 03,91.0,New Generation,1985,59 years 10 months,710000.0,59.833333333333336,724.8485959733741,2.0
2024-12,BUKIT MERAH,4 ROOM,59,TELOK BLANGAH HTS,04 TO 06,91.0,New Generation,1976,50 years 10 months,600000.0,50.833333333333336,612.5481092732739,5.0
2024-12,QUEENSTOWN,4 ROOM,30,GHIM MOH LINK,22 TO 24,93.0,Model A,2018,92 years 07 months,1048000.0,92.58333333333331,1046.9083886231826,23.0
2025-01,QUEENSTOWN,4 ROOM,82,STRATHMORE AVE,22 TO 24,108.0,Model A,1997,71 years 10 months,990000.0,71.83333333333333,851.6120241424268,23.0
2025-01,CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,04 TO 06,94.0,Type S1,2011,85 years 02 months,1150000.0,85.16666666666667,1136.580844600144,5.0
2025-01,QUEENSTOWN,4 ROOM,31,GHIM MOH LINK,19 TO 21,93.0,Model A,2018,92 years 06 months,1060000.0,92.5,1058.8958892562723,20.0
2025-01,QUEENSTOWN,4 ROOM,62B,STRATHMORE AVE,22 TO 24,98.0,Model A,2011,85 years 08 months,1045000.0,85.66666666666667,990.6507219615984,23.0
2025-01,CENTRAL AREA,4 ROOM,232,BAIN ST,04 TO 06,82.0,Improved,1980,54 years 05 months,780000.0,54.416666666666664,883.7126991101014,5.0
2025-01,BUKIT MERAH,4 ROOM,90A,TELOK BLANGAH ST 31,19 TO 21,93.0,Model A,2018,93 years,988000.0,,986.9708854577332,20.0
2025-01,BUKIT MERAH,4 ROOM,11,CANTONMENT CL,04 TO 06,90.0,Model A,2002,77 years 01 month,915000.0,77.08333333333333,944.5151540488732,5.0
2025-01,BUKIT MERAH,4 ROOM,103A,DEPOT RD,01 TO 03,100.0,Model A,2002,76 years 05 months,650000.0,76.41666666666667,603.8703443919027,2.0
2025-01,CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,40 TO 42,93.0,Type S1,2011,85 years 01 month,1400000.0,85.08333333333333,1398.5417405271523,41.0
2025-01,BUKIT MERAH,4 ROOM,111A,DEPOT RD,19 TO 21,100.0,Model A,2006,80 years 02 months,880000.0,80.16666666666667,817.5475431767297,20.0
2025-01,BUKIT MERAH,4 ROOM,9A,BOON TIONG RD,31 TO 33,92.0,Model A,2016,90 years 02 months,1250000.0,90.16666666666669,1262.2707867723716,32.0
2025-01,BUKIT MERAH,4 ROOM,8A,BOON TIONG RD,07 TO 09,100.0,Model A,2005,79 years 10 months,950000.0,79.83333333333333,882.5797341112423,8.0
2025-01,BUKIT MERAH,4 ROOM,96A,HENDERSON RD,40 TO 42,83.0,Model A,2019,93 years 05 months,1050000.0,93.41666666666669,1175.2805590574565,41.0
2025-02,BUKIT MERAH,4 ROOM,114,BT PURMEI RD,04 TO 06,103.0,Model A,1985,59 years 02 months,670000.0,59.166666666666664,604.3213304594096,5.0
2025-02,CENTRAL AREA,4 ROOM,232,BAIN ST,07 TO 09,82.0,Improved,1980,54 years 04 months,800000.0,54.333333333333336,906.3719990872836,8.0
2025-02,QUEENSTOWN,4 ROOM,129,CLARENCE LANE,01 TO 03,105.0,Model A,1996,70 years 07 months,936000.0,70.58333333333333,828.1650437374665,2.0
2025-02,BUKIT MERAH,4 ROOM,87,TELOK BLANGAH HTS,01 TO 03,92.0,Model A,2003,77 years 03 months,691500.0,77.25,698.288199242476,2.0
2025-02,BUKIT MERAH,4 ROOM,126A,KIM TIAN RD,34 TO 36,93.0,Model A,2013,87 years 02 months,1010000.0,87.16666666666667,1008.9479699517314,35.0
2025-02,BUKIT MERAH,4 ROOM,50,HOY FATT RD,01 TO 03,84.0,Simplified,1987,61 years,595000.0,,658.0638368373297,2.0
2025-03,QUEENSTOWN,4 ROOM,51,STRATHMORE AVE,10 TO 12,90.0,Model A,2006,80 years 08 months,925000.0,80.66666666666667,954.8377240384784,11.0
2025-03,BUKIT MERAH,4 ROOM,93B,TELOK BLANGAH ST 31,25 TO 27,93.0,Model A,2018,92 years 10 months,1000088.0,92.83333333333331,999.0462944287992,26.0
2025-03,CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,13 TO 15,95.0,Type S1,2011,84 years 11 months,1300000.0,84.91666666666667,1271.3059881934792,14.0
2025-03,QUEENSTOWN,4 ROOM,3A,HOLLAND CL,04 TO 06,106.0,Model A,1998,72 years 09 months,920800.0,72.75,807.0302077156226,5.0
2025-03,CENTRAL AREA,4 ROOM,1G,CANTONMENT RD,22 TO 24,95.0,Type S1,2011,84 years 11 months,1300000.0,84.91666666666667,1271.3059881934792,23.0
2025-03,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,49 TO 51,94.0,Type S1,2011,85 years 02 months,1518000.0,85.16666666666667,1500.28671487219,50.0
2025-03,BEDOK,3 ROOM,102,BEDOK NTH AVE 4,10 TO 12,82.0,New Generation,1977,51 years 05 months,450000.0,51.416666666666664,509.83424948659695,11.0
2025-03,BUKIT MERAH,4 ROOM,3,DELTA AVE,04 TO 06,91.0,New Generation,1985,59 years 08 months,760000.0,59.666666666666664,775.894271746147,5.0
2025-03,CENTRAL AREA,4 ROOM,639,ROWELL RD,19 TO 21,108.0,Model A,1983,57 years 08 months,860000.0,57.666666666666664,739.7841825883708,20.0
2025-03,BEDOK,4 ROOM,769,BEDOK RESERVOIR VIEW,13 TO 15,105.0,Premium Apartment,2000,74 years 10 months,778000.0,74.83333333333333,688.3679530210992,14.0
2025-03,QUEENSTOWN,4 ROOM,78,DAWSON RD,04 TO 06,88.0,Model A,2020,94 years 08 months,1020000.0,94.66666666666669,1076.8317330065397,5.0
2025-03,BUKIT MERAH,4 ROOM,121,KIM TIAN PL,01 TO 03,90.0,Model A,2001,75 years,815000.0,,841.2894541528216,2.0
2025-03,CENTRAL AREA,4 ROOM,662,BUFFALO RD,01 TO 03,82.0,Improved,1982,56 years 03 months,526000.0,56.25,595.9395893998889,2.0
2025-04,CENTRAL AREA,4 ROOM,663,BUFFALO RD,16 TO 18,91.0,Improved,1982,56 years 02 months,585000.0,56.166666666666664,597.2344065414421,17.0
2025-04,QUEENSTOWN,4 ROOM,60,STRATHMORE AVE,25 TO 27,96.0,Model A,2000,74 years 08 months,1000000.0,74.66666666666667,967.7409365254848,26.0
2025-04,CENTRAL AREA,4 ROOM,632,VEERASAMY RD,19 TO 21,107.0,Model A,1985,59 years 05 months,890000.0,59.416666666666664,772.7456599695087,20.0
2025-04,QUEENSTOWN,4 ROOM,23,DOVER CRES,07 TO 09,88.0,Improved,1976,50 years 03 months,520000.0,50.25,548.9730403562751,8.0
2025-04,QUEENSTOWN,4 ROOM,28B,DOVER CRES,07 TO 09,95.0,Model A,2012,85 years 11 months,935000.0,85.91666666666667,914.3623838160792,8.0
2025-04,BUKIT MERAH,4 ROOM,110A,DEPOT RD,04 TO 06,92.0,Model A,2017,91 years 08 months,795000.0,91.66666666666669,802.8042203872284,5.0
2025-04,BUKIT MERAH,4 ROOM,111A,DEPOT RD,25 TO 27,100.0,Model A,2006,79 years 10 months,818888.0,79.83333333333333,760.7725824283021,26.0
2025-04,BUKIT MERAH,4 ROOM,75A,REDHILL RD,04 TO 06,100.0,Model A,2005,79 years 09 months,935000.0,79.75,868.6442646252754,5.0
2025-04,QUEENSTOWN,4 ROOM,18C,HOLLAND DR,31 TO 33,92.0,Model A,2012,86 years 06 months,1001000.0,86.5,1010.8264460473152,32.0
2025-04,BUKIT MERAH,4 ROOM,68,TELOK BLANGAH HTS,07 TO 09,91.0,New Generation,1978,51 years 10 months,610000.0,51.833333333333336,622.7572444278285,8.0
2025-04,QUEENSTOWN,4 ROOM,51,STRATHMORE AVE,19 TO 21,90.0,Model A,2006,80 years 07 months,965000.0,80.58333333333333,996.1280039968992,20.0
2025-04,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,31 TO 33,93.0,Type S1,2011,84 years 09 months,1380000.0,84.75,1378.562572805336,32.0
2025-04,CENTRAL AREA,4 ROOM,1F,CANTONMENT RD,37 TO 39,95.0,Type S1,2011,84 years 10 months,1388888.0,84.83333333333333,1358.23202410005,38.0
2025-04,CENTRAL AREA,4 ROOM,1A,CANTONMENT RD,19 TO 21,95.0,Type S1,2011,84 years 10 months,1360000.0,84.83333333333333,1329.9816491870245,20.0
2025-05,BUKIT MERAH,4 ROOM,12,CANTONMENT CL,25 TO 27,90.0,Model A,2003,76 years 09 months,1000000.0,76.75,1032.2569989605172,26.0
2025-05,BUKIT MERAH,4 ROOM,68,TELOK BLANGAH HTS,13 TO 15,91.0,New Generation,1978,51 years 09 months,648000.0,51.75,661.5519580151358,14.0
2025-05,CENTRAL AREA,4 ROOM,663,BUFFALO RD,16 TO 18,82.0,Improved,1982,56 years 01 month,595000.0,56.083333333333336,674.1141743211671,17.0
2025-05,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,43 TO 45,93.0,Type S1,2011,84 years 09 months,1415688.0,84.75,1414.2133996881453,44.0
2025-05,QUEENSTOWN,4 ROOM,53,STRATHMORE AVE,10 TO 12,83.0,Premium Apartment,2020,94 years 08 months,1058888.0,94.66666666666669,1185.2290291611732,11.0
2025-05,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,16 TO 18,96.0,Type S1,2011,84 years 09 months,1340000.0,84.75,1296.7728549441497,17.0
2025-05,QUEENSTOWN,4 ROOM,91,TANGLIN HALT RD,31 TO 33,90.0,Model A,2008,82 years 04 months,1018000.0,82.33333333333333,1050.8376249418066,32.0
2025-05,BUKIT MERAH,4 ROOM,119C,KIM TIAN RD,13 TO 15,92.0,Model A,2003,77 years 02 months,915000.0,77.16666666666667,923.982215917376,14.0
2025-05,QUEENSTOWN,4 ROOM,52,C'WEALTH DR,07 TO 09,95.0,Model A,2015,88 years 09 months,986888.0,88.75,965.1050954432972,8.0
2025-05,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,13 TO 15,93.0,Type S1,2011,84 years 09 months,1328000.0,84.75,1326.6167367286132,14.0
2025-05,QUEENSTOWN,4 ROOM,50,STRATHMORE AVE,16 TO 18,90.0,Model A,2006,80 years 04 months,938000.0,80.33333333333333,968.2570650249652,17.0
2025-05,BUKIT MERAH,4 ROOM,10B,BOON TIONG RD,16 TO 18,87.0,Model A,2016,89 years 09 months,1180000.0,89.75,1260.0654401104246,17.0
2025-05,CENTRAL AREA,4 ROOM,1A,CANTONMENT RD,34 TO 36,97.0,Type S1,2011,84 years 08 months,1430000.0,84.66666666666667,1369.602842950707,35.0
2025-06,QUEENSTOWN,4 ROOM,88,DAWSON RD,37 TO 39,83.0,Premium Apartment,2016,90 years 04 months,1138888.0,90.33333333333331,1274.77421461317,38.0
2025-06,BUKIT MERAH,4 ROOM,86,TELOK BLANGAH HTS,22 TO 24,90.0,Model A,2003,76 years 11 months,800000.0,76.91666666666667,825.8055991684138,23.0
2025-06,QUEENSTOWN,4 ROOM,18,DOVER CRES,01 TO 03,87.0,Model A,2003,77 years 05 months,735000.0,77.41666666666667,784.8712698992898,2.0
2025-06,BUKIT MERAH,4 ROOM,127A,KIM TIAN RD,22 TO 24,93.0,Model A,2013,86 years 09 months,1045000.0,86.75,1043.91151346491,23.0
2025-06,BUKIT MERAH,4 ROOM,121A,KIM TIAN PL,13 TO 15,100.0,Model A,2001,74 years 09 months,1000000.0,74.75,929.0312990644657,14.0
2025-06,CENTRAL AREA,4 ROOM,1E,CANTONMENT RD,04 TO 06,96.0,Type S1,2011,84 years 08 months,1220000.0,84.66666666666667,1180.6439425610915,5.0
2025-06,BUKIT MERAH,4 ROOM,128,KIM TIAN RD,01 TO 03,88.0,Improved,1975,48 years 08 months,540000.0,48.666666666666664,570.0873880622856,2.0
2025-06,CENTRAL AREA,4 ROOM,668,CHANDER RD,10 TO 12,103.0,Model A,1984,58 years 05 months,690000.0,58.416666666666664,622.3607731596906,11.0
2025-06,CENTRAL AREA,4 ROOM,1D,CANTONMENT RD,19 TO 21,96.0,Type S1,2011,84 years 08 months,1423888.0,84.66666666666667,1377.9547066273997,20.0
2025-06,CENTRAL AREA,4 ROOM,663,BUFFALO RD,16 TO 18,82.0,Improved,1982,56 years,570000.0,,645.7900493496895,17.0
2025-06,QUEENSTOWN,4 ROOM,89,TANGLIN HALT RD,10 TO 12,90.0,Model A,2008,82 years 03 months,985888.0,82.25,1017.6897881911864,11.0
2025-07,CENTRAL AREA,4 ROOM,1B,CANTONMENT RD,19 TO 21,95.0,Type S1,2011,84 years 07 months,1380000.0,84.58333333333333,1349.540202851539,20.0
2025-07,QUEENSTOWN,4 ROOM,86,DAWSON RD,16 TO 18,83.0,Premium Apartment,2016,90 years 02 months,955000.0,90.16666666666669,1068.9456513332104,17.0
2025-07,QUEENSTOWN,4 ROOM,88,DAWSON RD,07 TO 09,83.0,Premium Apartment,2016,90 years 02 months,985000.0,90.16666666666669,1102.5250958777092,8.0
2025-07,QUEENSTOWN,4 ROOM,28C,DOVER CRES,07 TO 09,95.0,Model A,2012,85 years 09 months,935000.0,85.75,914.3623838160792,8.0
2025-07,CENTRAL AREA,4 ROOM,1E,CANTONMENT RD,31 TO 33,93.0,Type S1,2011,84 years 06 months,1368000.0,84.5,1366.575072172246,32.0
2025-07,BUKIT MERAH,4 ROOM,25B,JLN MEMBINA,16 TO 18,90.0,Model A,2009,82 years 06 months,1000888.0,82.5,1033.1736431755942,17.0
2025-07,BUKIT MERAH,4 ROOM,127C,KIM TIAN RD,13 TO 15,93.0,Model A,2013,86 years 07 months,980000.0,86.58333333333333,978.9792183690066,14.0
2025-07,BUKIT MERAH,4 ROOM,8A,BOON TIONG RD,16 TO 18,100.0,Model A,2005,79 years 04 months,1018500.0,79.33333333333333,946.2183780971582,17.0
2025-07,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,16 TO 18,93.0,Type S1,2011,84 years 07 months,1346800.0,84.58333333333333,1345.3971543871205,17.0
2025-07,BUKIT MERAH,4 ROOM,90A,TELOK BLANGAH ST 31,25 TO 27,93.0,Model A,2018,92 years 05 months,1050000.0,92.41666666666669,1048.9063053953644,26.0
2025-07,CENTRAL AREA,4 ROOM,7,TG PAGAR PLAZA,13 TO 15,83.0,Improved,1980,53 years 10 months,808000.0,53.833333333333336,904.4063730651663,14.0
2025-07,BUKIT MERAH,4 ROOM,91A,TELOK BLANGAH ST 31,19 TO 21,93.0,Model A,2018,92 years 05 months,990000.0,92.41666666666669,988.9688022299148,20.0
2025-08,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,04 TO 06,96.0,Type S1,2011,84 years 06 months,1240000.0,84.5,1199.998761291601,5.0
2025-08,CENTRAL AREA,4 ROOM,1A,CANTONMENT RD,34 TO 36,93.0,Type S1,2011,84 years 05 months,1360000.0,84.41666666666667,1358.5834050835194,35.0
2025-08,QUEENSTOWN,4 ROOM,168A,QUEENSWAY,10 TO 12,84.0,Improved,1974,47 years 11 months,528000.0,47.916666666666664,583.9625308405211,11.0
2025-08,QUEENSTOWN,4 ROOM,17,DOVER CRES,10 TO 12,92.0,Model A,2003,77 years 02 months,880000.0,77.16666666666667,888.6386338877496,11.0
2025-08,BUKIT MERAH,4 ROOM,76A,REDHILL RD,19 TO 21,100.0,Model A,2005,79 years 05 months,1030000.0,79.41666666666667,956.9022380363996,20.0
2025-08,CENTRAL AREA,4 ROOM,8,TG PAGAR PLAZA,04 TO 06,83.0,Improved,1980,53 years 09 months,778000.0,53.75,870.8269285206677,5.0
2025-08,CENTRAL AREA,4 ROOM,671B,KLANG LANE,10 TO 12,75.0,Model A,2003,76 years 07 months,680000.0,76.58333333333333,842.321711151782,11.0
2025-08,BUKIT MERAH,4 ROOM,27A,JLN MEMBINA,04 TO 06,90.0,Model A,2008,82 years 05 months,918000.0,82.41666666666667,947.6119250457548,5.0
2025-08,BUKIT MERAH,4 ROOM,110A,DEPOT RD,07 TO 09,92.0,Model A,2017,91 years 03 months,840000.0,91.25,848.2459687110338,8.0
2025-08,CENTRAL AREA,4 ROOM,1D,CANTONMENT RD,40 TO 42,93.0,Type S1,2011,84 years 05 months,1425000.0,84.41666666666667,1423.515700179423,41.0
2025-08,TAMPINES,5 ROOM,613B,TAMPINES NTH DR 1,07 TO 09,113.0,Improved,2020,94 years 03 months,942888.0,94.25,775.1968703648635,8.0
2025-08,BUKIT MERAH,4 ROOM,8B,BOON TIONG RD,01 TO 03,100.0,Model A,2005,79 years 02 months,938888.0,79.16666666666667,872.256338316038,2.0
2025-09,CENTRAL AREA,4 ROOM,1B,CANTONMENT RD,22 TO 24,93.0,Type S1,2011,84 years 05 months,1450000.0,84.41666666666667,1448.4896598316936,23.0
2025-09,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,22 TO 24,93.0,Type S1,2011,84 years 04 months,1370000.0,84.33333333333333,1368.5729889444276,23.0
2025-09,CENTRAL AREA,4 ROOM,1D,CANTONMENT RD,22 TO 24,96.0,Type S1,2011,84 years 05 months,1300000.0,84.41666666666667,1258.0632174831303,23.0
2025-09,CENTRAL AREA,4 ROOM,1E,CANTONMENT RD,46 TO 48,93.0,Type S1,2011,84 years 04 months,1490000.0,84.33333333333333,1488.4479952753263,47.0
2025-09,CENTRAL AREA,4 ROOM,642,ROWELL RD,10 TO 12,109.0,Model A,1984,57 years 04 months,800000.0,57.333333333333336,681.8578341757545,11.0
2025-09,CENTRAL AREA,4 ROOM,233,BAIN ST,10 TO 12,82.0,Improved,1980,53 years 08 months,828000.0,53.666666666666664,938.0950190553384,11.0
2025-09,CENTRAL AREA,4 ROOM,672B,KLANG LANE,01 TO 03,85.0,Model A,2002,75 years 11 months,660000.0,75.91666666666667,721.365479273585,2.0
2025-09,CENTRAL AREA,4 ROOM,1G,CANTONMENT RD,31 TO 33,93.0,Type S1,2011,84 years 05 months,1395000.0,84.41666666666667,1393.5469485966985,32.0
2025-09,QUEENSTOWN,4 ROOM,3,HOLLAND CL,16 TO 18,105.0,Model A,1998,72 years 02 months,1106000.0,72.16666666666667,978.5796350145704,17.0
2025-10,BUKIT MERAH,4 ROOM,88,TELOK BLANGAH HTS,10 TO 12,90.0,Model A,2003,76 years 06 months,803000.0,76.5,828.9023701652953,11.0
2025-10,BUKIT MERAH,4 ROOM,64,TELOK BLANGAH DR,10 TO 12,92.0,New Generation,1978,51 years 09 months,630000.0,51.75,636.1844765332753,11.0
2025-10,QUEENSTOWN,4 ROOM,23,GHIM MOH LINK,22 TO 24,92.0,Model A,2013,86 years 07 months,998000.0,86.58333333333333,1007.7969961590616,23.0
2025-10,QUEENSTOWN,4 ROOM,48,STRATHMORE AVE,25 TO 27,90.0,Model A,2006,80 years 02 months,975000.0,80.16666666666667,1006.4505739865044,26.0
2025-10,CENTRAL AREA,4 ROOM,1C,CANTONMENT RD,43 TO 45,93.0,Type S1,2011,84 years 04 months,1480000.0,84.33333333333333,1478.4584114144182,44.0
2025-10,BUKIT MERAH,4 ROOM,6B,BOON TIONG RD,07 TO 09,100.0,Model A,2005,79 years 01 month,1068000.0,79.08333333333333,992.2054274008492,8.0
2025-11,CENTRAL AREA,4 ROOM,26,JLN BERSEH,04 TO 06,87.0,Improved,1979,52 years 08 months,610000.0,52.666666666666664,651.389761413016,5.0
2025-11,QUEENSTOWN,4 ROOM,18,DOVER CRES,04 TO 06,92.0,Model A,2003,76 years 11 months,815000.0,76.91666666666667,823.0005529755863,5.0
2025-11,QUEENSTOWN,4 ROOM,88,DAWSON RD,43 TO 45,83.0,Premium Apartment,2016,89 years 10 months,1180000.0,89.83333333333333,1320.791485416951,44.0
2025-11,QUEENSTOWN,4 ROOM,81,STRATHMORE AVE,04 TO 06,105.0,Model A,1993,66 years 08 months,962500.0,66.66666666666667,851.6120241424268,5.0
2025-11,QUEENSTOWN,4 ROOM,55,STRATHMORE AVE,10 TO 12,95.0,Model A,2002,75 years 07 months,890000.0,75.58333333333333,870.3556380709203,11.0
2025-11,QUEENSTOWN,4 ROOM,87,DAWSON RD,46 TO 48,83.0,Premium Apartment,2016,89 years 10 months,1220000.0,89.83333333333333,1365.5640781429493,47.0
2025-12,QUEENSTOWN,4 ROOM,90,TANGLIN HALT RD,04 TO 06,90.0,Model A,2008,81 years 09 months,908000.0,81.75,937.2893550561496,5.0
2025-12,TAMPINES,5 ROOM,815,TAMPINES AVE 4,13 TO 15,124.0,Improved,1985,58 years 03 months,805000.0,58.25,603.1211256023345,14.0
2025-12,QUEENSTOWN,4 ROOM,23,GHIM MOH LINK,25 TO 27,92.0,Model A,2013,86 years 05 months,1000000.0,86.41666666666667,1009.8166294178972,26.0
2025-12,BUKIT MERAH,4 ROOM,25B,JLN MEMBINA,22 TO 24,90.0,Model A,2009,82 years 02 months,1020000.0,82.16666666666667,1052.9021389397276,23.0
2025-12,CENTRAL AREA,4 ROOM,334,KRETA AYER RD,19 TO 21,83.0,Improved,1981,54 years 04 months,788000.0,54.333333333333336,882.0200767021672,20.0
2025-12,QUEENSTOWN,4 ROOM,23,GHIM MOH LINK,22 TO 24,92.0,Model A,2013,86 years 05 months,930000.0,86.41666666666667,939.1294653586446,23.0
2025-12,QUEENSTOWN,4 ROOM,28,GHIM MOH LINK,22 TO 24,92.0,Model A,2013,86 years 05 months,1020000.0,86.41666666666667,1030.0129620062553,23.0
2025-12,CENTRAL AREA,4 ROOM,635,VEERASAMY RD,04 TO 06,109.0,Model A,1985,58 years 08 months,800000.0,58.666666666666664,681.8578341757545,5.0
2025-12,TAMPINES,5 ROOM,522B,TAMPINES CTRL 7,10 TO 12,113.0,Improved,2015,88 years 09 months,970000.0,88.75,797.487044329674,11.0
2025-12,QUEENSTOWN,4 ROOM,18B,HOLLAND DR,01 TO 03,87.0,Model A,2012,85 years 10 months,1018000.0,85.83333333333333,1087.0734051122135,2.0
2025-12,BUKIT MERAH,4 ROOM,90B,TELOK BLANGAH ST 31,16 TO 18,93.0,Model A,2018,92 years,995000.0,,993.963594160369,17.0
